Date,StartTime,EndTime,kwHUsage,Tag,Season,Year,Month,BillingSeason,BillingDay,TOU,Cost
5/17/2024,0:00:00,1:00:00,0.15,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.036
5/17/2024,0:00:00,1:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Off-Peak,0.0024
5/17/2024,1:00:00,2:00:00,0.15,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.036
5/17/2024,2:00:00,3:00:00,0.16,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.0384
5/17/2024,2:00:00,3:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Off-Peak,0.0024
5/17/2024,3:00:00,4:00:00,0.15,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.036
5/17/2024,3:00:00,4:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Off-Peak,0.0024
5/17/2024,4:00:00,5:00:00,0.16,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.0384
5/17/2024,4:00:00,5:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Off-Peak,0.0024
5/17/2024,5:00:00,6:00:00,0.18,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.0432
5/17/2024,5:00:00,6:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Off-Peak,0.0024
5/17/2024,6:00:00,7:00:00,0.49,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.1176
5/17/2024,6:00:00,7:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Off-Peak,0.0024
5/17/2024,7:00:00,8:00:00,0.91,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.2184
5/17/2024,8:00:00,9:00:00,0.44,delivered,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.1056
5/17/2024,8:00:00,9:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0024
5/17/2024,9:00:00,10:00:00,0.23,delivered,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0552
5/17/2024,9:00:00,10:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0024
5/17/2024,10:00:00,11:00:00,0.09,delivered,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0216
5/17/2024,10:00:00,11:00:00,0.02,generated,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0048
5/17/2024,11:00:00,12:00:00,0.07,delivered,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0168
5/17/2024,11:00:00,12:00:00,0.02,generated,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0048
5/17/2024,12:00:00,13:00:00,0.08,delivered,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0192
5/17/2024,12:00:00,13:00:00,0.02,generated,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0048
5/17/2024,13:00:00,14:00:00,0.07,delivered,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0168
5/17/2024,13:00:00,14:00:00,0.02,generated,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0048
5/17/2024,14:00:00,15:00:00,0.09,delivered,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0216
5/17/2024,14:00:00,15:00:00,0.02,generated,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0048
5/17/2024,15:00:00,16:00:00,0.09,delivered,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0216
5/17/2024,15:00:00,16:00:00,0.03,generated,Spring,2024,May,Winter,Weekday,Super-Off-Peak,0.0072
5/17/2024,16:00:00,17:00:00,0.12,delivered,Spring,2024,May,Winter,Weekday,Mid-Peak,0.072
5/17/2024,16:00:00,17:00:00,0.02,generated,Spring,2024,May,Winter,Weekday,Mid-Peak,0.012
5/17/2024,17:00:00,18:00:00,0.1,delivered,Spring,2024,May,Winter,Weekday,Mid-Peak,0.06
5/17/2024,17:00:00,18:00:00,0.03,generated,Spring,2024,May,Winter,Weekday,Mid-Peak,0.018
5/17/2024,18:00:00,19:00:00,0.1,delivered,Spring,2024,May,Winter,Weekday,Mid-Peak,0.06
5/17/2024,18:00:00,19:00:00,0.02,generated,Spring,2024,May,Winter,Weekday,Mid-Peak,0.012
5/17/2024,19:00:00,20:00:00,0.09,delivered,Spring,2024,May,Winter,Weekday,Mid-Peak,0.054
5/17/2024,19:00:00,20:00:00,0.03,generated,Spring,2024,May,Winter,Weekday,Mid-Peak,0.018
5/17/2024,20:00:00,21:00:00,0.14,delivered,Spring,2024,May,Winter,Weekday,Mid-Peak,0.084
5/17/2024,20:00:00,21:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Mid-Peak,0.006
5/17/2024,21:00:00,22:00:00,0.15,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.036
5/17/2024,21:00:00,22:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Off-Peak,0.0024
5/17/2024,22:00:00,23:00:00,0.14,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.0336
5/17/2024,22:00:00,23:00:00,0.01,generated,Spring,2024,May,Winter,Weekday,Off-Peak,0.0024
5/17/2024,23:00:00,0:00:00,0.13,delivered,Spring,2024,May,Winter,Weekday,Off-Peak,0.0312
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
